Test Number,Max Eigenvalue,Iterations for Max,Min Eigenvalue,Iterations for Min,Trace,Determinant
141,null,infinity,null,infinity,0.587566393051965,1.093304154650158,
142,null,infinity,null,infinity,-0.6227047404435027,1.5262796259930376,
143,-1.2285987891713634,4,0.007352205641516858,6,-1.2212466242404814,-0.00903291124796915,
144,-2.298217126555812,9,0.9772373043218455,13,-1.3209998980921278,-2.2458888059364597,
145,0.8834088684364146,48,-0.6964954395564673,46,0.1868870603950734,-0.6152858216843787,
146,1.6527875928188343,19,-1.0151672393408964,22,0.637622400743231,-1.6778202801373199,
147,1.1220712694409252,23,-0.7325022689701478,31,0.38954708710719643,-0.8219190527736902,
148,-2.1802348188252085,6,-0.299952820065263,8,-2.480184693556107,0.653967025440266,
149,null,infinity,null,infinity,-3.372771156932907,6.584762358634322,
150,null,infinity,null,infinity,1.3020415996793857,1.2840123429880483,
151,1.0120574193424638,23,-0.5879384368752464,20,0.42410939209384413,-0.5950157773155973,
152,2.0767861063971886,75,-1.7744168506982385,52,0.3023262482613833,-3.6852504426095507,
153,1.6723163480084267,6,0.09753131936462693,6,1.7698479928376,0.16310323851818928,
154,-2.462331153796384,7,0.16349842734485617,6,-2.2988318979716915,-0.40258711977837236,
155,null,infinity,null,infinity,0.018672338474647887,-0.18801375349529822,
156,null,infinity,null,infinity,0.10786241005747899,-2.2465229054465397,
157,-2.3990414814544856,13,1.061044611346784,14,-1.338000405491985,-2.545447184844654,
158,-2.812019414820296,12,1.140499894005795,13,-1.6715165694864513,-3.207148672365686,
159,2.3542446855814902,12,0.7766032889686804,10,3.130842711976432,1.8283219141308147,
160,2.3694278570590073,45,-1.8775653342888803,29,0.49177696968614715,-4.4488740357462,
161,-2.2710643201664196,14,1.0553398360027377,12,-1.2157478940557196,-2.396740352573645,
162,-1.923821975901313,61,1.6131123133865508,37,-0.3107869258002167,-3.1032615860288115,
163,0.5764612475937173,19,-0.33640651460393706,26,0.24004186527316307,-0.1939193691617053,
164,1.205783623226793,44,-0.9203412269301597,39,0.28544901097213726,-1.109770322936992,
165,null,infinity,-4.065776851321711,88,-2.7959481647547375,5.258470297550263,
166,1.7502839634595087,16,-0.6948454490507815,10,1.055452639694514,-1.2161749715470989,
167,null,infinity,null,infinity,-0.04580543977481222,-1.728159643080531,
168,-1.3660435602379095,17,0.6705657592930148,17,-0.6954648200776572,-0.9160211652781929,
169,null,infinity,null,infinity,-2.364462585348477,2.8149459572781907,
170,2.1662507882310655,5,-0.03870542376569578,6,2.1275453252934744,-0.0838456529832814,
171,2.0638404850102336,40,-1.5412030377006614,21,0.5226694459865713,-3.180672918510249,
