i,x01,x02,x03,|x0-xExact|,xN1j,xN2j,xN3j,Nj,xN1g,xN2g,xN3g,Ng,
78,0.019547466541024017,-0.6360165246597944,-0.948855920415085,1.0183296046256114,0.0473531,0.0589329,0.0694618,34,0.0473258,0.0589609,0.0694845,7,
79,-0.8790198139383487,0.10662883870177686,-0.5781118895376132,0.9263882349909803,0.0473541,0.0589338,0.0694625,34,0.0473251,0.0589535,0.0694866,7,
80,-0.695733345332602,-0.1437860109956386,0.814425743697371,0.7449520594868446,0.0473858,0.0589639,0.0694872,29,0.0474232,0.0589411,0.0694570,7,
81,-0.7601820129044019,-0.6470192419101142,-0.4701646654667315,0.8075504339570335,0.0473828,0.0589610,0.0694849,35,0.0473832,0.0589787,0.0694609,6,
82,0.03826866146836516,0.54636625074217,0.721868394091308,0.6523947098807816,0.0473549,0.0589345,0.0694631,33,0.0473944,0.0589385,0.0694673,7,
83,-0.629453948658999,0.30976123381053244,-0.9534811881799621,1.0229548723904884,0.0473859,0.0589639,0.0694873,33,0.0473565,0.0589477,0.0694776,8,
84,0.42506439087196246,0.5114472109580561,-0.7762294953051077,0.845703179515634,0.0473549,0.0589345,0.0694632,27,0.0473582,0.0589471,0.0694772,8,
85,-0.7741152722692297,0.11429800366926401,0.39575983010236926,0.8214836933218613,0.0473820,0.0589602,0.0694842,31,0.0473876,0.0589439,0.0694682,7,
86,0.5599153903027791,-0.007738467949548022,0.7262725778270531,0.6567988936165268,0.0473549,0.0589345,0.0694631,33,0.0474130,0.0589412,0.0694604,7,
87,0.9187157817992315,0.2966120332510114,0.981990251564318,0.9125165673537916,0.0473547,0.0589344,0.0694630,35,0.0474194,0.0589372,0.0694592,7,
88,0.7932626229022286,-0.9557950989088946,-0.14949855165703752,1.0147424673299472,0.0473546,0.0589343,0.0694629,30,0.0473879,0.0589547,0.0694654,7,
89,0.5089436349719159,0.371823992396934,-0.3085947138226688,0.4615752139192843,0.0473851,0.0589631,0.0694866,30,0.0473337,0.0589495,0.0694847,7,
90,0.8213489611161331,-0.4031174464665288,-0.8519735261827581,0.9214472103932845,0.0473548,0.0589344,0.0694631,30,0.0473243,0.0589588,0.0694855,7,
91,-0.9442353521373146,-0.7177282303139918,0.3113065838731579,0.9916037731899462,0.0473525,0.0589323,0.0694613,34,0.0474097,0.0589489,0.0694595,7,
92,0.6936366296370919,0.2103409214257479,-0.7725832897876825,0.8420569739982089,0.0473852,0.0589632,0.0694867,26,0.0473587,0.0589478,0.0694768,8,
93,0.6948141054966304,-0.9238085076445897,-0.17234899969660078,0.9827558760656423,0.0473515,0.0589313,0.0694605,30,0.0473854,0.0589547,0.0694662,7,
94,0.17397432108618838,-0.9896207787401601,-0.9330787438030106,1.0485681471612127,0.0473514,0.0589312,0.0694604,34,0.0473259,0.0590079,0.0694727,6,
95,-0.8311826792781212,-0.8873168463106167,0.7098427292769047,0.9462642147316693,0.0473865,0.0589645,0.0694877,33,0.0473771,0.0589490,0.0694704,8,
96,-0.9560057582358417,0.10594222651801877,0.010742040892087079,1.0033741792884732,0.0473826,0.0589608,0.0694847,33,0.0473371,0.0589518,0.0694830,6,
97,0.5703048919833174,0.35457240307300864,-0.12471866777646934,0.5229364709306857,0.0473513,0.0589311,0.0694603,31,0.0473461,0.0589478,0.0694810,7,
98,0.8933147118793305,-0.2210009887113269,0.3776821082303754,0.8459462908266989,0.0473842,0.0589624,0.0694860,32,0.0473976,0.0589458,0.0694644,7,
99,0.5029264997983476,-0.8354235581063467,-0.6023851389928963,0.8943709265273994,0.0473508,0.0589307,0.0694600,32,0.0473547,0.0589585,0.0694755,7,
Averages: 
Jacobi:0.0473695,
0.0589484,
0.0694745,
Error:,1.1238450956935209E-6
Gauss-Seidal:
0.0473635,
0.0589524,
0.0694741,
Error:,5.06168117826028E-6
Njacobi / Ngs,4.463519313304721

0.0473684,
0.0589474,
0.0694737,


